NA,NB,NC,NT,VA,VB,VC,RA,RB,RC,ZA,ZB,ZC,rA,rB,rC,rCA,rCB,rCC,PA,PB,PC,PAv,PSd,a_b,c,MAv,LAC,LBC,LAv,T,Nop,ZT
1,4,7,12,0,6,7,3,5,5,14,51,52,110,145,140,111,139,138,1.98,2.05,2.12,2.09,0.05,4.206,24.037,117.36,2.894,3.07,2.982,300,1,0.46
1,4,7,12,5,3,7,5,4,5,50,33,52,145,115,140,139,119,138,1.96,2.18,2.12,2.13,0.06,4.092,23.516,109.3,3.097,2.905,3.001,300,1,0.39
1,4,7,12,5,9,4,5,6,4,50,83,34,145,160,103,139,148,120,1.96,2.02,2.55,2.32,0.27,4.132,22.739,125.61,2.951,2.961,2.956,300,0,0.21
1,4,7,12,5,9,7,5,6,5,50,83,52,145,160,140,139,148,138,1.96,2.02,2.12,2.07,0.06,4.346,24.582,153.99,3.118,3.147,3.133,300,1,0.3
1,4,7,12,5,6,4,5,5,4,50,51,34,145,145,103,139,139,120,1.96,2.05,2.55,2.33,0.26,4.047,22.614,96.54,2.943,2.892,2.917,300,0,0.23
1,4,7,12,5,6,7,5,5,5,50,51,52,145,145,140,139,139,138,1.96,2.05,2.12,2.08,0.05,4.271,24.283,124.91,3.114,3.074,3.094,300,1,0.33
1,4,7,12,8,9,4,6,6,4,82,83,34,180,160,103,146,148,120,1.87,2.02,2.55,2.32,0.28,4.151,22.794,132.99,3.019,2.96,2.99,300,0,0.22
1,4,7,12,8,9,7,6,6,5,82,83,52,180,160,140,146,148,138,1.87,2.02,2.12,2.07,0.07,4.361,24.699,161.36,3.187,3.146,3.167,300,1,0.28
1,4,7,12,8,6,4,6,5,4,82,51,34,180,145,103,146,139,120,1.87,2.05,2.55,2.33,0.27,4.069,22.678,103.91,3.017,2.892,2.954,300,0,0.23
1,4,7,12,8,6,7,6,5,5,82,51,52,180,145,140,146,139,138,1.87,2.05,2.12,2.08,0.07,4.286,24.386,132.28,3.191,3.073,3.132,300,1,0.32
2,2,5,9,2,3,4,4,4,4,32,33,34,125,115,103,120,119,120,2.01,2.18,2.55,2.35,0.23,3.845,15.776,76.65,2.763,2.727,2.745,300,0,0.52
2,2,5,9,2,9,4,4,6,4,32,83,34,125,160,103,120,148,120,2.01,2.02,2.55,2.31,0.27,4.048,16.174,106.44,2.809,2.955,2.882,300,0,0.31
2,2,5,9,2,9,7,4,6,5,32,83,52,125,160,140,120,148,138,2.01,2.02,2.12,2.07,0.05,4.256,17.396,133.46,2.966,3.145,3.055,300,1,0.52
2,2,5,9,2,6,4,4,5,4,32,51,34,125,145,103,120,139,120,2.01,2.05,2.55,2.32,0.26,3.99,16.039,87.06,2.798,2.885,2.841,300,0,0.22
2,2,5,9,2,6,7,4,5,5,32,51,52,125,145,140,120,139,138,2.01,2.05,2.12,2.08,0.05,4.214,17.158,114.08,2.958,3.07,3.014,300,1,0.38
2,2,5,9,0,9,7,3,6,5,14,83,52,110,160,140,111,148,138,1.98,2.02,2.12,2.07,0.06,4.182,17.387,123.57,2.889,3.15,3.019,300,1,0.53
2,2,5,9,0,6,7,3,5,5,14,51,52,110,145,140,111,139,138,1.98,2.05,2.12,2.07,0.06,4.149,17.09,104.19,2.883,3.072,2.978,300,1,0.53
2,2,5,9,5,3,4,5,4,4,50,33,34,145,115,103,139,119,120,1.96,2.18,2.55,2.34,0.25,3.936,16.338,86.9,2.925,2.745,2.835,300,0,0.49
2,2,5,9,5,3,7,5,4,5,50,33,52,145,115,140,139,119,138,1.96,2.18,2.12,2.1,0.08,4.19,17.277,113.92,3.103,2.927,3.015,300,1,0.58
2,2,5,9,5,9,4,5,6,4,50,83,34,145,160,103,139,148,120,1.96,2.02,2.55,2.3,0.28,4.152,16.554,116.69,2.96,2.967,2.964,300,0,0.31
2,2,5,9,5,9,7,5,6,5,50,83,52,145,160,140,139,148,138,1.96,2.02,2.12,2.06,0.07,4.377,17.743,143.71,3.129,3.155,3.142,300,1,0.37
2,2,5,9,5,6,4,5,5,4,50,51,34,145,145,103,139,139,120,1.96,2.05,2.55,2.31,0.27,4.091,16.468,97.3,2.952,2.901,2.926,300,0,0.3
2,2,5,9,5,6,7,5,5,5,50,51,52,145,145,140,139,139,138,1.96,2.05,2.12,2.07,0.06,4.322,17.645,124.32,3.121,3.083,3.102,300,1,0.45
2,2,5,9,8,3,4,6,4,4,82,33,34,180,115,103,146,119,120,1.87,2.18,2.55,2.32,0.28,4.001,16.387,106.56,3.005,2.755,2.88,300,0,0.49
2,2,5,9,8,3,7,6,4,5,82,33,52,180,115,140,146,119,138,1.87,2.18,2.12,2.08,0.11,4.225,17.526,133.58,3.184,2.927,3.056,300,1,0.38
2,2,5,9,8,9,4,6,6,4,82,83,34,180,160,103,146,148,120,1.87,2.02,2.55,2.28,0.3,4.202,16.678,136.35,3.025,2.97,2.997,300,0,0.25
2,2,5,9,8,9,7,6,6,5,82,83,52,180,160,140,146,148,138,1.87,2.02,2.12,2.04,0.1,4.417,17.912,163.37,3.194,3.152,3.173,300,1,0.31
2,2,5,9,8,6,1,6,5,3,82,51,16,180,145,100,146,139,105,1.87,2.05,2.58,2.3,0.31,4.025,15.996,90.92,2.926,2.793,2.86,300,0,0.45
2,2,5,9,8,6,4,6,5,4,82,51,34,180,145,103,146,139,120,1.87,2.05,2.55,2.29,0.3,4.143,16.616,116.97,3.021,2.904,2.962,300,0,0.18
2,2,5,9,8,6,7,6,5,5,82,51,52,180,145,140,146,139,138,1.87,2.05,2.12,2.05,0.1,4.362,17.785,143.99,3.193,3.082,3.138,300,1,0.36
3,2,6,11,2,3,4,4,4,4,32,33,34,125,115,103,120,119,120,2.01,2.18,2.55,2.34,0.24,3.861,57.053,76.49,2.766,2.731,2.749,300,0,0.37
3,2,6,11,2,9,7,4,6,5,32,83,52,125,160,140,120,148,138,2.01,2.02,2.12,2.07,0.05,4.242,62.482,127.4,2.964,3.144,3.054,300,1,0.43
3,2,6,11,2,6,7,4,5,5,32,51,52,125,145,140,120,139,138,2.01,2.05,2.12,2.08,0.05,4.206,61.831,111.54,2.957,3.071,3.014,300,1,0.33
3,2,6,11,5,3,4,5,4,4,50,33,34,145,115,103,139,119,120,1.96,2.18,2.55,2.32,0.26,3.978,59.271,89.07,2.93,2.758,2.844,300,1,0.46
3,2,6,11,5,3,7,5,4,5,50,33,52,145,115,140,139,119,138,1.96,2.18,2.12,2.09,0.08,4.23,62.723,115.6,3.108,2.935,3.022,300,1,0.51
3,2,6,11,5,9,4,5,6,4,50,83,34,145,160,103,139,148,120,1.96,2.02,2.55,2.29,0.28,4.16,59.855,113.44,2.962,2.968,2.965,300,0,0.21
3,2,6,11,5,9,7,5,6,5,50,83,52,145,160,140,139,148,138,1.96,2.02,2.12,2.06,0.07,4.388,64.092,139.97,3.131,3.156,3.143,300,1,0.26
3,2,6,11,5,6,4,5,5,4,50,51,34,145,145,103,139,139,120,1.96,2.05,2.55,2.3,0.28,4.106,59.778,97.58,2.955,2.903,2.929,300,0,0.22
3,2,6,11,5,6,7,5,5,5,50,51,52,145,145,140,139,139,138,1.96,2.05,2.12,2.06,0.07,4.343,63.743,124.11,3.124,3.087,3.106,300,1,0.36
3,2,6,11,8,3,7,6,4,5,82,33,52,180,115,140,146,119,138,1.87,2.18,2.12,2.06,0.12,4.275,63.71,139.73,3.181,2.941,3.061,300,1,0.37
3,2,6,11,8,9,4,6,6,4,82,83,34,180,160,103,146,148,120,1.87,2.02,2.55,2.27,0.31,4.219,60.471,137.57,3.028,2.972,3,300,0,0.26
3,2,6,11,8,6,4,6,5,4,82,51,34,180,145,103,146,139,120,1.87,2.05,2.55,2.27,0.31,4.172,60.309,121.71,3.023,2.911,2.967,300,0,0.26
3,2,6,11,8,6,7,6,5,5,82,51,52,180,145,140,146,139,138,1.87,2.05,2.12,2.04,0.11,4.391,64.53,148.25,3.194,3.089,3.141,300,1,0.29
1,2,4,7,2,3,4,4,4,4,32,33,34,125,115,103,120,119,120,2.01,2.18,2.55,2.37,0.22,3.82,37.787,76.9,2.756,2.722,2.739,350,0,0.46
1,2,4,7,2,3,7,4,4,5,32,33,52,125,115,140,120,119,138,2.01,2.18,2.12,2.12,0.05,4.073,40.022,104.69,2.927,2.905,2.916,350,0,0.33
1,2,4,7,2,9,4,4,6,4,32,83,34,125,160,103,120,148,120,2.01,2.02,2.55,2.32,0.26,4.076,38.745,115.2,2.812,2.958,2.885,350,0,0.32
1,2,4,7,2,9,7,4,6,5,32,83,52,125,160,140,120,148,138,2.01,2.02,2.12,2.08,0.05,4.283,41.826,143,2.966,3.147,3.056,350,1,0.51
1,2,4,7,2,6,4,4,5,4,32,51,34,125,145,103,120,139,120,2.01,2.05,2.55,2.33,0.25,4.004,38.481,90.28,2.798,2.887,2.842,350,0,0.27
1,2,4,7,2,6,7,4,5,5,32,51,52,125,145,140,120,139,138,2.01,2.05,2.12,2.08,0.04,4.224,41.25,118.07,2.958,3.071,3.014,350,1,0.35
1,2,4,7,0,9,7,3,6,5,14,83,52,110,160,140,111,148,138,1.98,2.02,2.12,2.07,0.06,4.236,41.762,136.64,2.897,3.15,3.024,350,1,0.67
1,2,4,7,0,6,7,3,5,5,14,51,52,110,145,140,111,139,138,1.98,2.05,2.12,2.08,0.05,4.182,41.16,111.71,2.887,3.073,2.98,350,1,0.49
1,2,4,7,5,3,4,5,4,4,50,33,34,145,115,103,139,119,120,1.96,2.18,2.55,2.36,0.23,3.877,38.464,83.48,2.924,2.731,2.827,350,0,0.48
1,2,4,7,5,3,7,5,4,5,50,33,52,145,115,140,139,119,138,1.96,2.18,2.12,2.11,0.07,4.132,40.736,111.28,3.104,2.914,3.009,350,1,0.59
1,2,4,7,5,9,4,5,6,4,50,83,34,145,160,103,139,148,120,1.96,2.02,2.55,2.31,0.27,4.14,39.299,121.79,2.954,2.965,2.96,350,0,0.34
1,2,4,7,5,9,7,5,6,5,50,83,52,145,160,140,139,148,138,1.96,2.02,2.12,2.07,0.06,4.361,42.315,149.58,3.124,3.152,3.138,350,1,0.4
1,2,4,7,5,6,4,5,5,4,50,51,34,145,145,103,139,139,120,1.96,2.05,2.55,2.32,0.26,4.065,39.156,96.86,2.947,2.896,2.922,350,0,0.3
1,2,4,7,5,6,7,5,5,5,50,51,52,145,145,140,139,139,138,1.96,2.05,2.12,2.08,0.06,4.29,41.893,124.66,3.119,3.077,3.098,350,1,0.45
1,2,4,7,8,3,4,6,4,4,82,33,34,180,115,103,146,119,120,1.87,2.18,2.55,2.35,0.25,3.916,38.74,96.13,3.007,2.733,2.87,350,0,0.43
1,2,4,7,8,3,7,6,4,5,82,33,52,180,115,140,146,119,138,1.87,2.18,2.12,2.1,0.1,4.153,41.265,123.92,3.191,2.91,3.05,350,1,0.5
1,2,4,7,8,9,4,6,6,4,82,83,34,180,160,103,146,148,120,1.87,2.02,2.55,2.3,0.29,4.171,39.471,134.43,3.021,2.964,2.993,350,0,0.27
1,2,4,7,8,9,7,6,6,5,82,83,52,180,160,140,146,148,138,1.87,2.02,2.12,2.06,0.09,4.382,42.674,162.22,3.192,3.148,3.17,350,1,0.37
1,2,4,7,8,6,7,6,5,5,82,51,52,180,145,140,146,139,138,1.87,2.05,2.12,2.06,0.08,4.317,42.231,137.3,3.194,3.075,3.135,350,1,0.41
1,4,7,12,2,3,4,4,4,4,32,33,34,125,115,103,120,119,120,2.01,2.18,2.55,2.38,0.2,3.804,21.898,77.08,2.752,2.717,2.734,350,0,0.5
1,4,7,12,2,3,7,4,4,5,32,33,52,125,115,140,120,119,138,2.01,2.18,2.12,2.13,0.05,4.06,23.186,105.46,2.923,2.901,2.912,350,1,0.45
1,4,7,12,2,9,4,4,6,4,32,83,34,125,160,103,120,148,120,2.01,2.02,2.55,2.33,0.26,4.097,22.581,121.77,2.816,2.957,2.886,350,0,0.34
1,4,7,12,2,9,7,4,6,5,32,83,52,125,160,140,120,148,138,2.01,2.02,2.12,2.08,0.05,4.303,24.405,150.14,2.971,3.144,3.057,350,1,0.47
1,4,7,12,2,6,4,4,5,4,32,51,34,125,145,103,120,139,120,2.01,2.05,2.55,2.34,0.25,4.013,22.42,92.69,2.8,2.887,2.843,350,0,0.3
1,4,7,12,2,6,7,4,5,5,32,51,52,125,145,140,120,139,138,2.01,2.05,2.12,2.09,0.04,4.231,24.064,121.07,2.959,3.07,3.014,350,1,0.44
1,4,7,12,0,3,7,3,4,5,14,33,52,110,115,140,111,119,138,1.98,2.18,2.12,2.13,0.05,4.039,23.127,101.75,2.845,2.901,2.873,350,0,0.52
1,4,7,12,0,9,7,3,6,5,14,83,52,110,160,140,111,148,138,1.98,2.02,2.12,2.08,0.05,4.272,24.453,146.43,2.909,3.143,3.026,350,1,0.58
1,4,7,12,0,6,7,3,5,5,14,51,52,110,145,140,111,139,138,1.98,2.05,2.12,2.09,0.05,4.206,24.037,117.36,2.894,3.07,2.982,350,1,0.56
1,4,7,12,5,3,7,5,4,5,50,33,52,145,115,140,139,119,138,1.96,2.18,2.12,2.13,0.06,4.092,23.516,109.3,3.097,2.905,3.001,350,1,0.49
1,4,7,12,5,9,4,5,6,4,50,83,34,145,160,103,139,148,120,1.96,2.02,2.55,2.32,0.27,4.132,22.739,125.61,2.951,2.961,2.956,350,0,0.28
1,4,7,12,5,9,7,5,6,5,50,83,52,145,160,140,139,148,138,1.96,2.02,2.12,2.07,0.06,4.346,24.582,153.99,3.118,3.147,3.133,350,1,0.38
1,4,7,12,5,6,4,5,5,4,50,51,34,145,145,103,139,139,120,1.96,2.05,2.55,2.33,0.26,4.047,22.614,96.54,2.943,2.892,2.917,350,0,0.29
1,4,7,12,5,6,7,5,5,5,50,51,52,145,145,140,139,139,138,1.96,2.05,2.12,2.08,0.05,4.271,24.283,124.91,3.114,3.074,3.094,350,1,0.41
1,4,7,12,8,9,4,6,6,4,82,83,34,180,160,103,146,148,120,1.87,2.02,2.55,2.32,0.28,4.151,22.794,132.99,3.019,2.96,2.99,350,0,0.28
1,4,7,12,8,9,7,6,6,5,82,83,52,180,160,140,146,148,138,1.87,2.02,2.12,2.07,0.07,4.361,24.699,161.36,3.187,3.146,3.167,350,1,0.36
1,4,7,12,8,6,4,6,5,4,82,51,34,180,145,103,146,139,120,1.87,2.05,2.55,2.33,0.27,4.069,22.678,103.91,3.017,2.892,2.954,350,0,0.28
1,4,7,12,8,6,7,6,5,5,82,51,52,180,145,140,146,139,138,1.87,2.05,2.12,2.08,0.07,4.286,24.386,132.28,3.191,3.073,3.132,350,1,0.4
2,2,5,9,2,3,4,4,4,4,32,33,34,125,115,103,120,119,120,2.01,2.18,2.55,2.35,0.23,3.845,15.776,76.65,2.763,2.727,2.745,350,0,0.59
2,2,5,9,2,9,4,4,6,4,32,83,34,125,160,103,120,148,120,2.01,2.02,2.55,2.31,0.27,4.048,16.174,106.44,2.809,2.955,2.882,350,0,0.39
2,2,5,9,2,9,7,4,6,5,32,83,52,125,160,140,120,148,138,2.01,2.02,2.12,2.07,0.05,4.256,17.396,133.46,2.966,3.145,3.055,350,1,0.6
2,2,5,9,2,6,4,4,5,4,32,51,34,125,145,103,120,139,120,2.01,2.05,2.55,2.32,0.26,3.99,16.039,87.06,2.798,2.885,2.841,350,0,0.29
2,2,5,9,2,6,7,4,5,5,32,51,52,125,145,140,120,139,138,2.01,2.05,2.12,2.08,0.05,4.214,17.158,114.08,2.958,3.07,3.014,350,1,0.5
2,2,5,9,0,9,7,3,6,5,14,83,52,110,160,140,111,148,138,1.98,2.02,2.12,2.07,0.06,4.182,17.387,123.57,2.889,3.15,3.019,350,1,0.63
2,2,5,9,0,6,7,3,5,5,14,51,52,110,145,140,111,139,138,1.98,2.05,2.12,2.07,0.06,4.149,17.09,104.19,2.883,3.072,2.978,350,1,0.61
2,2,5,9,5,3,4,5,4,4,50,33,34,145,115,103,139,119,120,1.96,2.18,2.55,2.34,0.25,3.936,16.338,86.9,2.925,2.745,2.835,350,0,0.64
2,2,5,9,5,3,7,5,4,5,50,33,52,145,115,140,139,119,138,1.96,2.18,2.12,2.1,0.08,4.19,17.277,113.92,3.103,2.927,3.015,350,1,0.66
2,2,5,9,5,9,4,5,6,4,50,83,34,145,160,103,139,148,120,1.96,2.02,2.55,2.3,0.28,4.152,16.554,116.69,2.96,2.967,2.964,350,0,0.41
2,2,5,9,5,9,7,5,6,5,50,83,52,145,160,140,139,148,138,1.96,2.02,2.12,2.06,0.07,4.377,17.743,143.71,3.129,3.155,3.142,350,1,0.46
2,2,5,9,5,6,4,5,5,4,50,51,34,145,145,103,139,139,120,1.96,2.05,2.55,2.31,0.27,4.091,16.468,97.3,2.952,2.901,2.926,350,0,0.39
2,2,5,9,5,6,7,5,5,5,50,51,52,145,145,140,139,139,138,1.96,2.05,2.12,2.07,0.06,4.322,17.645,124.32,3.121,3.083,3.102,350,1,0.54
2,2,5,9,8,3,4,6,4,4,82,33,34,180,115,103,146,119,120,1.87,2.18,2.55,2.32,0.28,4.001,16.387,106.56,3.005,2.755,2.88,350,0,0.55
2,2,5,9,8,3,7,6,4,5,82,33,52,180,115,140,146,119,138,1.87,2.18,2.12,2.08,0.11,4.225,17.526,133.58,3.184,2.927,3.056,350,1,0.47
2,2,5,9,8,9,4,6,6,4,82,83,34,180,160,103,146,148,120,1.87,2.02,2.55,2.28,0.3,4.202,16.678,136.35,3.025,2.97,2.997,350,0,0.32
2,2,5,9,8,9,7,6,6,5,82,83,52,180,160,140,146,148,138,1.87,2.02,2.12,2.04,0.1,4.417,17.912,163.37,3.194,3.152,3.173,350,1,0.4
2,2,5,9,8,6,1,6,5,3,82,51,16,180,145,100,146,139,105,1.87,2.05,2.58,2.3,0.31,4.025,15.996,90.92,2.926,2.793,2.86,350,0,0.54
2,2,5,9,8,6,4,6,5,4,82,51,34,180,145,103,146,139,120,1.87,2.05,2.55,2.29,0.3,4.143,16.616,116.97,3.021,2.904,2.962,350,0,0.24
2,2,5,9,8,6,7,6,5,5,82,51,52,180,145,140,146,139,138,1.87,2.05,2.12,2.05,0.1,4.362,17.785,143.99,3.193,3.082,3.138,350,1,0.44
3,2,6,11,2,3,4,4,4,4,32,33,34,125,115,103,120,119,120,2.01,2.18,2.55,2.34,0.24,3.861,57.053,76.49,2.766,2.731,2.749,350,0,0.47
3,2,6,11,2,9,7,4,6,5,32,83,52,125,160,140,120,148,138,2.01,2.02,2.12,2.07,0.05,4.242,62.482,127.4,2.964,3.144,3.054,350,1,0.52
3,2,6,11,2,6,7,4,5,5,32,51,52,125,145,140,120,139,138,2.01,2.05,2.12,2.08,0.05,4.206,61.831,111.54,2.957,3.071,3.014,350,1,0.43
3,2,6,11,5,3,4,5,4,4,50,33,34,145,115,103,139,119,120,1.96,2.18,2.55,2.32,0.26,3.978,59.271,89.07,2.93,2.758,2.844,350,1,0.53
3,2,6,11,5,3,7,5,4,5,50,33,52,145,115,140,139,119,138,1.96,2.18,2.12,2.09,0.08,4.23,62.723,115.6,3.108,2.935,3.022,350,1,0.61
3,2,6,11,5,9,4,5,6,4,50,83,34,145,160,103,139,148,120,1.96,2.02,2.55,2.29,0.28,4.16,59.855,113.44,2.962,2.968,2.965,350,0,0.3
3,2,6,11,5,9,7,5,6,5,50,83,52,145,160,140,139,148,138,1.96,2.02,2.12,2.06,0.07,4.388,64.092,139.97,3.131,3.156,3.143,350,1,0.36
3,2,6,11,5,6,4,5,5,4,50,51,34,145,145,103,139,139,120,1.96,2.05,2.55,2.3,0.28,4.106,59.778,97.58,2.955,2.903,2.929,350,0,0.31
3,2,6,11,5,6,7,5,5,5,50,51,52,145,145,140,139,139,138,1.96,2.05,2.12,2.06,0.07,4.343,63.743,124.11,3.124,3.087,3.106,350,1,0.45
3,2,6,11,8,3,7,6,4,5,82,33,52,180,115,140,146,119,138,1.87,2.18,2.12,2.06,0.12,4.275,63.71,139.73,3.181,2.941,3.061,350,1,0.46
3,2,6,11,8,9,4,6,6,4,82,83,34,180,160,103,146,148,120,1.87,2.02,2.55,2.27,0.31,4.219,60.471,137.57,3.028,2.972,3,350,0,0.33
3,2,6,11,8,6,4,6,5,4,82,51,34,180,145,103,146,139,120,1.87,2.05,2.55,2.27,0.31,4.172,60.309,121.71,3.023,2.911,2.967,350,0,0.33
3,2,6,11,8,6,7,6,5,5,82,51,52,180,145,140,146,139,138,1.87,2.05,2.12,2.04,0.11,4.391,64.53,148.25,3.194,3.089,3.141,350,1,0.38
1,2,4,7,2,3,4,4,4,4,32,33,34,125,115,103,120,119,120,2.01,2.18,2.55,2.37,0.22,3.82,37.787,76.9,2.756,2.722,2.739,400,0,0.51
1,2,4,7,2,3,7,4,4,5,32,33,52,125,115,140,120,119,138,2.01,2.18,2.12,2.12,0.05,4.073,40.022,104.69,2.927,2.905,2.916,400,0,0.4
1,2,4,7,2,9,4,4,6,4,32,83,34,125,160,103,120,148,120,2.01,2.02,2.55,2.32,0.26,4.076,38.745,115.2,2.812,2.958,2.885,400,0,0.38
1,2,4,7,2,9,7,4,6,5,32,83,52,125,160,140,120,148,138,2.01,2.02,2.12,2.08,0.05,4.283,41.826,143,2.966,3.147,3.056,400,1,0.58
1,2,4,7,2,6,4,4,5,4,32,51,34,125,145,103,120,139,120,2.01,2.05,2.55,2.33,0.25,4.004,38.481,90.28,2.798,2.887,2.842,400,0,0.34
1,2,4,7,2,6,7,4,5,5,32,51,52,125,145,140,120,139,138,2.01,2.05,2.12,2.08,0.04,4.224,41.25,118.07,2.958,3.071,3.014,400,1,0.43
1,2,4,7,0,9,7,3,6,5,14,83,52,110,160,140,111,148,138,1.98,2.02,2.12,2.07,0.06,4.236,41.762,136.64,2.897,3.15,3.024,400,1,0.73
1,2,4,7,0,6,7,3,5,5,14,51,52,110,145,140,111,139,138,1.98,2.05,2.12,2.08,0.05,4.182,41.16,111.71,2.887,3.073,2.98,400,1,0.58
1,2,4,7,5,3,4,5,4,4,50,33,34,145,115,103,139,119,120,1.96,2.18,2.55,2.36,0.23,3.877,38.464,83.48,2.924,2.731,2.827,400,0,0.53
1,2,4,7,5,3,7,5,4,5,50,33,52,145,115,140,139,119,138,1.96,2.18,2.12,2.11,0.07,4.132,40.736,111.28,3.104,2.914,3.009,400,1,0.66
1,2,4,7,5,9,4,5,6,4,50,83,34,145,160,103,139,148,120,1.96,2.02,2.55,2.31,0.27,4.14,39.299,121.79,2.954,2.965,2.96,400,0,0.41
1,2,4,7,5,9,7,5,6,5,50,83,52,145,160,140,139,148,138,1.96,2.02,2.12,2.07,0.06,4.361,42.315,149.58,3.124,3.152,3.138,400,1,0.47
1,2,4,7,5,6,4,5,5,4,50,51,34,145,145,103,139,139,120,1.96,2.05,2.55,2.32,0.26,4.065,39.156,96.86,2.947,2.896,2.922,400,0,0.37
1,2,4,7,5,6,7,5,5,5,50,51,52,145,145,140,139,139,138,1.96,2.05,2.12,2.08,0.06,4.29,41.893,124.66,3.119,3.077,3.098,400,1,0.52
1,2,4,7,8,3,4,6,4,4,82,33,34,180,115,103,146,119,120,1.87,2.18,2.55,2.35,0.25,3.916,38.74,96.13,3.007,2.733,2.87,400,0,0.48
1,2,4,7,8,3,7,6,4,5,82,33,52,180,115,140,146,119,138,1.87,2.18,2.12,2.1,0.1,4.153,41.265,123.92,3.191,2.91,3.05,400,1,0.56
1,2,4,7,8,9,4,6,6,4,82,83,34,180,160,103,146,148,120,1.87,2.02,2.55,2.3,0.29,4.171,39.471,134.43,3.021,2.964,2.993,400,0,0.32
1,2,4,7,8,9,7,6,6,5,82,83,52,180,160,140,146,148,138,1.87,2.02,2.12,2.06,0.09,4.382,42.674,162.22,3.192,3.148,3.17,400,1,0.45
1,2,4,7,8,6,7,6,5,5,82,51,52,180,145,140,146,139,138,1.87,2.05,2.12,2.06,0.08,4.317,42.231,137.3,3.194,3.075,3.135,400,1,0.48
1,4,7,12,2,3,4,4,4,4,32,33,34,125,115,103,120,119,120,2.01,2.18,2.55,2.38,0.2,3.804,21.898,77.08,2.752,2.717,2.734,400,0,0.56
1,4,7,12,2,3,7,4,4,5,32,33,52,125,115,140,120,119,138,2.01,2.18,2.12,2.13,0.05,4.06,23.186,105.46,2.923,2.901,2.912,400,1,0.53
1,4,7,12,2,9,4,4,6,4,32,83,34,125,160,103,120,148,120,2.01,2.02,2.55,2.33,0.26,4.097,22.581,121.77,2.816,2.957,2.886,400,0,0.4
1,4,7,12,2,9,7,4,6,5,32,83,52,125,160,140,120,148,138,2.01,2.02,2.12,2.08,0.05,4.303,24.405,150.14,2.971,3.144,3.057,400,1,0.56
1,4,7,12,2,6,4,4,5,4,32,51,34,125,145,103,120,139,120,2.01,2.05,2.55,2.34,0.25,4.013,22.42,92.69,2.8,2.887,2.843,400,0,0.35
1,4,7,12,2,6,7,4,5,5,32,51,52,125,145,140,120,139,138,2.01,2.05,2.12,2.09,0.04,4.231,24.064,121.07,2.959,3.07,3.014,400,1,0.54
1,4,7,12,0,3,7,3,4,5,14,33,52,110,115,140,111,119,138,1.98,2.18,2.12,2.13,0.05,4.039,23.127,101.75,2.845,2.901,2.873,400,1,0.58
1,4,7,12,0,9,7,3,6,5,14,83,52,110,160,140,111,148,138,1.98,2.02,2.12,2.08,0.05,4.272,24.453,146.43,2.909,3.143,3.026,400,1,0.65
1,4,7,12,0,6,7,3,5,5,14,51,52,110,145,140,111,139,138,1.98,2.05,2.12,2.09,0.05,4.206,24.037,117.36,2.894,3.07,2.982,400,1,0.64
1,4,7,12,5,3,7,5,4,5,50,33,52,145,115,140,139,119,138,1.96,2.18,2.12,2.13,0.06,4.092,23.516,109.3,3.097,2.905,3.001,400,1,0.57
1,4,7,12,5,9,4,5,6,4,50,83,34,145,160,103,139,148,120,1.96,2.02,2.55,2.32,0.27,4.132,22.739,125.61,2.951,2.961,2.956,400,0,0.34
1,4,7,12,5,9,7,5,6,5,50,83,52,145,160,140,139,148,138,1.96,2.02,2.12,2.07,0.06,4.346,24.582,153.99,3.118,3.147,3.133,400,1,0.46
1,4,7,12,5,6,4,5,5,4,50,51,34,145,145,103,139,139,120,1.96,2.05,2.55,2.33,0.26,4.047,22.614,96.54,2.943,2.892,2.917,400,0,0.35
1,4,7,12,5,6,7,5,5,5,50,51,52,145,145,140,139,139,138,1.96,2.05,2.12,2.08,0.05,4.271,24.283,124.91,3.114,3.074,3.094,400,1,0.5
1,4,7,12,8,9,4,6,6,4,82,83,34,180,160,103,146,148,120,1.87,2.02,2.55,2.32,0.28,4.151,22.794,132.99,3.019,2.96,2.99,400,0,0.33
1,4,7,12,8,9,7,6,6,5,82,83,52,180,160,140,146,148,138,1.87,2.02,2.12,2.07,0.07,4.361,24.699,161.36,3.187,3.146,3.167,400,1,0.43
1,4,7,12,8,6,4,6,5,4,82,51,34,180,145,103,146,139,120,1.87,2.05,2.55,2.33,0.27,4.069,22.678,103.91,3.017,2.892,2.954,400,0,0.33
1,4,7,12,8,6,7,6,5,5,82,51,52,180,145,140,146,139,138,1.87,2.05,2.12,2.08,0.07,4.286,24.386,132.28,3.191,3.073,3.132,400,1,0.47
2,2,5,9,2,3,4,4,4,4,32,33,34,125,115,103,120,119,120,2.01,2.18,2.55,2.35,0.23,3.845,15.776,76.65,2.763,2.727,2.745,400,0,0.63
2,2,5,9,2,9,4,4,6,4,32,83,34,125,160,103,120,148,120,2.01,2.02,2.55,2.31,0.27,4.048,16.174,106.44,2.809,2.955,2.882,400,0,0.46
2,2,5,9,2,9,7,4,6,5,32,83,52,125,160,140,120,148,138,2.01,2.02,2.12,2.07,0.05,4.256,17.396,133.46,2.966,3.145,3.055,400,1,0.67
2,2,5,9,2,6,4,4,5,4,32,51,34,125,145,103,120,139,120,2.01,2.05,2.55,2.32,0.26,3.99,16.039,87.06,2.798,2.885,2.841,400,0,0.35
